id_r,cue,resp_1,resp_2,resp_3,incorrect,human_correction,issue
180422,Geselligkeit,Lachen,Fröhlichkeit,WORD,sich zuprosten,sich zuprosten,
276694,Bücher,WORD,sprachen,kaufen,lezen,lesen,
223911,Gerede,WORD,belanglos,Kritik,Gequatsche,Gequatsche,
317413,Graf,Herzog,Adel,WORD,Blaublütig,blaublütig ,
167877,Verstoß,Regel,WORD,Gesetz,Stafe,Strafe ,
289262,keineswegs,nie,niemals,WORD,aufkeinen Fall,auf keinen Fall,
113681,Anschrift,Adresse,Kontakt,WORD,Briefkasten / Post,Briefkasten ,
266756,PC,Computer,Laptop,WORD,Smatphone,Smartphone,
362301,selbstlos,wünschenswert,WORD,NA,die Altruan,Altruan,
313996,vergebens,nicht ans Ziel gekommen,WORD,ohne Gewinn,Metzgergang,Metzgersgang,
286872,Faulheit,Faultier,Lernen,WORD,Motivationslos,motivationslos,
239183,fließen,Fluss,Wasser,WORD,tai chi,Tai-Chi,
328085,vorbereiten,zubereiten,parat,WORD,mise-en-place,Mise en Place,
318103,inzwischen,dazwischen,jetzt,WORD,daweil,daweil,
78040,Handschrift,geschwungen,WORD,Persönlichkeit,krakelig,krakelig,
343496,grob,Doll,WORD,NA,unsäuberlich,unsäuberlich,
152631,schlemmen,GENIESSEN,übertreiben,WORD,disziplinlos,disziplinlos,
88967,Symptom,Krankheit,WORD,NA,Psyschrembel,Pschyrembel,
224256,Zwang,Diktatur,WORD,Diät,kravatte,Krawatte,
352049,reinkommen,WORD,willkommen,wärme,rausgucken,rausgucken,
27381,Handbuch,WORD,NA,NA,Keine Antwort1,keine Antwort,
189409,Fasching,Karneval,Feiern,WORD,Köstum,Kostüm,
181281,Kredit,WORD,Bank,Hypothek,"Geld, Bank, Hypothek",Geld,
382927,Geburtstag,immer älter,WORD,Mami,Schoggichueche,Schoggikuchen,
327598,Motto,Mantra,WORD,Ansporn,verwinfachung,Vereinfachung,
109460,Buddhismus,WORD,naturverbunden,heilig,friedvoll,friedvoll,
183508,Schimmel,hässlich,WORD,giftig,grüngrau,grüngrau,
279205,Holocaust,Juden,Verbrennung,WORD,Yad vashem,Yad Vashem,
298363,prahlen,angeben,WORD,Geld,Angeber:in,Angeber,
132866,Küchenschrank,Kochen,WORD,Essen,Stsuraum,Stauraum ,
245917,Anker,Schiff,stark,WORD,haltgebend,haltgebend,
259928,eklig,gruselig,WORD,schleimig,dreckick,dreckig,
114724,warten,Langeweile,WORD,nervig,ermüdent,ermüdend,
294383,heulen,weinen,WORD,Tränen,Wolfsgeheule,Wolfsgeheule,
397256,USA,Reisen,Lockerheit,WORD,Unverbindlichkeit,Unverbindlichkeit,
76290,Millionen,Euro,Einwohner,WORD,Mückenplage,Mückenplage,
252291,stimmt,passt,übereistimmung,WORD,bestätkgen,bestätigen,
326416,Illusion,WORD,Träumer,Wunsch,trajum,Traum,
97824,ergebnisorientiert,schule,lernen,WORD,Top down,top-down,
307642,mehrmals,öfters,wiederholt,WORD,vielzählig,vielzählig,
32365,beschäftigen,arbeiten,unternehmen,WORD,bespaßen,bespaßen,
168754,Einverständnis,WORD,Zustimmung,NA,agreement,Agreement ,
343799,vorsehen,Achtgeben,WORD,NA,vorausahnen,vorausahnen,
144900,Motorrad,WORD,Helm,rennen,teifen,Reifen,
284886,wunderbar,prächtig,WORD,Landschaft,Frau aeschlimann,Frau Aeschlimann,
96033,Strahl,Laser,Sonnenstrahlen,WORD,Röngenstrahlen,Röntgenstrahlen,
71041,ersuchen,finden,schauen,WORD,nachgucken,nachgucken,
385959,Senator,Politik,würdevoll,WORD,distinguiert,distinguiert,
12419,Heinrich,Altdeutscher Name,WORD,Kaiser xy,langeweilig,langweilig ,
74072,Segelschiff,Meer,Freiheit,WORD,grenzenlosigkeit,Grenzenlosigkeit ,
347626,Enge,WORD,durch,schmal,dräue,dräuen,
357644,Quatsch,Unfug,WORD,Quatsch mit Soße,Voker Quaschning,Volker Quaschning,
18712,Gesundheit,Krebs,Obst,WORD,hatschi,hatschi,
127925,Fräulein,WORD,Herrlein,NA,gibts nicht,gibt's nicht ,
143249,Cognac,Alkohol,Frankreich,WORD,Louis de Funes,Louis de Funes,
318920,Bauarbeiter,Baustelle,Helm,WORD,Hinterherpfeifen,hinterherpfeifen,
52987,Notwendigkeit,Plage,Lottogewinn,WORD,wat Mut Mut,"wat mutt, dat mutt",
143375,Lego,Kindheit,WORD,Bauklötze,(lego-) Technik,Technik ,
103677,Reh,Hirsch,WORD,Kitz,Regrücken,Rehrücken ,
178652,Einbruch,Dieb,Raub,WORD,stehelen,stehlen ,
190181,Demenz,Alter,Krankheit,WORD,vergesseb,vergessen ,
236177,weiterhin,Immer noch,WORD,NA,Andauernf,andauernd,
89727,Dudelsack,Schottland,Musik,WORD,Roddy Piper,Roddy Piper,
234898,Ursprung,original,WORD,Ursache,queöle,Quelle,
239632,nur,WORD,wenig,klein,geringschätzen,gering schätzen ,
207176,kalt,Wetter,WORD,NA,ungequem,unbequem ,
108732,Hamburger,Bürger der Stadt Hamburg,Cheesburger,WORD,Fast food,Fast Food ,
113719,Orgel,Kirche,Hochzeit,WORD,Andi (Organist),Andi,
229120,Ehre,WORD,Auszeichnung,NA,"Kohl,Helmut",Helmut Kohl ,
43222,Mail,EMail,WORD,NA,Scheckenpost,Schneckenpost,
195108,Genie,WORD,Wahnsinn,einzigartig,Oberklug,oberklug ,
360758,Zugehörigkeit,WORD,Gemeinschaft,Gefühl,assoziert,assoziiert,
280383,Song,Text,Contest,WORD,Neil Diamond,Neil Diamond,
202770,sortieren,WORD,Akten,NA,irdnen,ordnen ,
101940,Ziehharmonika,Mundharmonika,Handorgel,WORD,quetschkomode,Quetschkommode,
140771,herrschen,REGIEREN,WORD,BEHERRSCHEN,HERRSCHSÜCHTIG,herrschsüchtig ,
171210,ethisch,korrekt,moralisch,WORD,Institutional Review Board,Institutional Review Board,
113388,charmant,WORD,nett,sympathisch,Prinz Charming,Prinz Charming,
139851,akribisch,WORD,zwanghaft,ordentlich,detailverliebt,detailverliebt,
385438,daheim,Zuhause,WORD,Gemüt,my home is my castle,my home is my castle,
224478,Mitmenschen,WORD,NA,NA,Menschen Nicht Mit-menschen oder Ohne-menschen...,Menschen ,
112827,Slowakei,WORD,Bratislava,Bier,Tschechislowakei,Tschechoslowakei,
278957,Badezimmer,toillette,Dusche,WORD,Badewannr,Badewanne,
247919,Verurteilung,Gericht,WORD,Gesetz,Richter*in,Richter,
318135,Nudeln,Spaghetti,Tomatensauce,WORD,parmesam,Parmesan,
311754,dorthin,fern,WORD,einräumen,exptisch,exotisch ,
356891,Lagerfeuer,Gitarre,WORD,Glut,würstcgen,Würstchen ,
168783,Ungarn,Land,östlich,WORD,österreich-ungarn,Österreich-Ungarn,
130524,Maler,Farben,Gerüste,WORD,Weise Kitteldinger,weiße Kittel,
240935,Unwetter,zerstörerisch,WORD,unkontrollierbar,zuviel Regen,zu viel Regen,
152527,schmecken,WORD,ausprobieren,Gourmet,mmh,mmh,
314694,Diversität,vielseitig,WORD,NA,vielfälltig,vielfältig,
286374,wiederholen,WORD,Fehler,Wort,noochmals,nochmals,
260011,Schokolade,WORD,Schweiz,Schoko-Drink,Schoggi,Schoggi ,
343670,Einzelnachweis,Behörde,WORD,Formular,bamtensprech,Beamtensprech,
376561,kreativ,WORD,töpfern,zeichnen,Berug,Beruf ,
240433,klauen,stehlen,WORD,bestrafen,Wachsmalfarbe,Wachsmalfarbe,
128916,Schlange,Hand,WORD,NA,Tromme,Trommel,
322168,vernichten,zerstören,Gewalt,WORD,anhilieren,annihilieren,
267460,Kosmetik,Schminke,WORD,teuer,Make Up,Make-up,
154158,Hemd,Hose,WORD,Kravatte,TShirt,T-Shirt ,
344077,beugen,strecken,WORD,aufgeben,Ellebogen,Ellenbogen ,
58293,Anforderung,WORD,haben,Angst,gerechtwerden,gerecht werden ,
349538,vorbereiten,WORD,NA,NA,prepare,prepare ,
91368,Finanzen,Bank,WORD,verwirrend,Bösre,Börse,
51607,John,Malkovich,Lennon,WORD,Fuegi,John Fuegi,
27080,Gebrauch,Gebrauchsgegenstand,Benutzen,WORD,Use,use,
117125,Pinguin,Pingeln,WORD,Urlaub,atagonien,Patagonien,
174713,Handy,Telefon,Anrufen,WORD,Tramfahrt,Tramfahrt ,
311003,aufzeigen,WORD,Hoch,Finger,Aufmalen,aufmalen ,
132704,Drehbank,Metall,WORD,Metallbau,zerspannungsmechaniker,Zerspanungsmechaniker,
226871,Thron,Herrscher,WORD,Palast,großbriannien,Großbritannien,
226551,Einbruch,Maske,Waffe,WORD,Nnacht,Nacht ,
227019,Deutung,Deutlich,Meinung,WORD,Definion,Defintion ,
80068,etablieren,Markt,Umsatz,WORD,investitiom,Investition,
46637,Öffentlichkeit,offener Raum,WORD,viele Menschen,keine privatheit,keine Privatheit,
290052,Herr der Ringe,Film,Fantasy,WORD,New zealand,New Zealand,
349970,unterwürfig,WORD,feige,gestrig,kriecherisch,kriecherisch,
142670,Thailand,tropisch,WORD,Kriminalität,Süd-ost Asien,Südostasien,
196289,grün,Natur,WORD,pflanzen,die grünen (partei),Die Grünen ,
194749,Tür,WORD,Pforte,NA,Eigang,Eingang ,
166588,Mundharmonika,WORD,NA,NA,Zieharmonika,Ziehharmonika,
218161,Gitter,Netz,Gefängnis,WORD,Absperrunh,Absperrung,
325066,abrufen,WORD,Fähigkeiten,Wissen,Emails,E-Mails,
318048,ertragen,mühsam,schleppend,WORD,wenns sein muss,wenn es sein muss,
131053,Kran,bauen,Baustelle,WORD,Bauarbeiterdekoltée,Bauarbeiter-Dekolleté,
199584,Beutel,Jutebeutel,Einkaufstasche,WORD,Kängurubeutel,Kängurubeutel,
201101,Mine,Explosion,Beine,WORD,südlices Afrika,südliches Afrika,
50097,Reflexion,Reflex,Assoziation,WORD,Konnektion,connection ,
276779,Länge,WORD,Maßband,Zeit,Srecke,Strecke ,
144495,nah,WORD,im Reichweite,kurze strecke,fernn,fern ,
125261,passen,Klamotten,Menschen zueinander,WORD,Puzzleteile,Puzzleteile ,
121791,Mücke,Stechen,WORD,Malaria,sirren,sirren ,
183252,bitter,traurig,WORD,NA,ungesüßt,ungesüßt,
275659,Wetter,Sonne,Wetterbericht,WORD,Wtterfrosch,Wetterfrosch ,
128433,herausragend,super,exzellent,WORD,spizze,Spitze ,
48256,ausführlich,gründlich,umfassend,WORD,detailiert,detailliert,
294350,verhaften,festnehmen,Polizei,WORD,gefägniss,Gefängnis,
318888,Jack,Vorname,WORD,Jackpot,the ripper,Jack the Ripper ,
52668,Lage,WORD,Ort,Bett,Lüttje,Lüttje,
296170,beeinflussen,Einfluss,Meinungsänderung,WORD,authoritär,autoritär,
72862,Lord,WORD,England,Fantasie Bücher,of the rings,The Lord of the Rings,
367031,Mark,Geld,Mark Brandenburg,WORD,Mark Klößchen,Markklößchen,
258345,weich,hart,WORD,Kissen,kuschlig,kuschlig,
60877,Beitrag,WORD,Addition,Spende,Mitmach-Aktion,Mitmachaktion ,
377851,Spritze,WORD,Impfung,Schmerz,aaah,aaah,
103436,Unterbrechung,Enttäuschung,WORD,ärgerlich,Coitus interruptus,Coitus interruptus,
313938,nochmal,WORD,Runde,Widerholen,Mehere Versuche,Mehrere Versuche,
131098,Quote,Neger,LOL,WORD,rekt,rekt,
303532,Hollywood,Filme,Schauspieler:innen,WORD,Regisseur:innen,Regisseur ,
133855,kommandieren,WORD,befehlen,Kommandant,令,令,
41759,Verhältnis,WORD,gefährlich,Büro,Affäire,Affäre,
126528,herausstechend,WORD,gut,Augenkrebs,besonder,besonders ,
40637,treten,WORD,kicken,stauchen,dappen,tappen,
126712,Hobby,Hobbies,WORD,Lesen,Kennenlernrunde,Kennenlernrunde,
245801,Mechanik,Auto,WORD,Werkstatt,Machaniker,Mechaniker,
87632,beherbergen,Hotel,Jugendherberge,WORD,unterkommen,unterkommen,
8868,lösen,WORD,Rätsel,Chemie,Solution,solution ,
317872,ungenügend,Note,WORD,unzufriedenstellend,Leisutng,Leistung ,
86704,Kasus,WORD,Latein,Fall,knaktus,Knackpunkt ,
149764,Musiker,WORD,viel üben,Star,klasischemusik,klassische Musik ,
74854,Storch,weiß,lange dünne Beine,WORD,babies,Babies,
111712,Estland,Lettland,WORD,Länder,Littauen,Litauen,
274332,Küste,WORD,Papageientaucher,Felsen,Nordeseeküste,Nordseeküste,
152186,Straßenbahn,WORD,Verkehr,Pendeln,Trämli,Tram ,
182228,Verlierer,WORD,NA,NA,Gibts nicht,gibt's nicht ,
73499,Sandale,Birkenstock,Zwischenzehsteg,WORD,Flip Flop,Flip-Flop,
332457,beruhigen,WORD,Frust,Da sein für jemnden,Wüt,Wut ,
203210,Niveau,hoch,WORD,brillant,sofistiziert,sophistiziert,
8581,diskutieren,argumentieren,klugscheißen,WORD,Missverständniss,Missverständnis,
54330,verfolgen,jagen,WORD,schnell,Jason Born,Jason Bourne,
134062,Hüfte,Beine,WORD,Bruch,OS ilium,Os ilium,
370568,öde,WORD,träge,nichtssagend,längweilig,langweilig ,
16636,Bildung,WORD,bildhaft,hirndung,geistdung,geistig ,
168759,Bolivien,Anden,WORD,Indios,la paz,La Paz,
371272,sinken,untergehen,WORD,nicht mehr zu sehen,fallenlassen,fallen lassen ,
105369,Schreiner,"schwarzer, traditioneller Arbeistanzug",WORD,Geruch nach Holz,"schöner, junger, kräftiger Mann",schöner Mann,
101719,Aprilscherz,albern,wetterwendisch,WORD,"Sonne, Hagel, Regen",Sonne,
41372,Entwurf,Plan,Hausbauplan,WORD,Gedicht/Romanentwurf,Gedicht ,
61511,Roman,Buch,Entspannung,WORD,Litteratur,Literatur ,
171310,Luxemburg,WORD,Stadt,NA,Lanf,Land ,
400545,Irrtum,WORD,Paragraf,Gesetz,Falschliegen,Falschliegen,
268113,illegal,Kriminaltat,WORD,Canabis,Gefägnis,Gefängnis ,
144859,Saft,orange,spfel,WORD,tomateapfel,Tomate ,
24521,Uhr,Zeit,WORD,Verlauf,tick-tack,tick-tack ,
298287,unehrlich,lügen,WORD,nicht ehrlich,ungetreu,ungetreu,
285779,Zusammenschluss,Novartis,WORD,Zentrierung,oeganisationsstruktur,Organisationsstruktur,
69877,Möhre,orange,Gelbe Rübe,WORD,knackig,knackig,
166738,Anführungszeichen,Ausrufezeichen,Fragezeichen,WORD,interpounktion,Interpunktion,
326640,pfeifen,WORD,Mund,Idiot,ofeife,Pfeife,
110540,Schimpfwort,harmlos,WORD,Idiot,Gemecker,Gemecker,
116790,überbewertet,vieles,WORD,Blender,zuviel,zu viel ,
350388,Zürcher,WORD,Geschnezeltes,See,"ja, war in Berlin",Berlin ,
301578,Pommes,WORD,Kartoffel,essen,McDonnald,McDonald's,
245041,Erotik,Sex,WORD,Bücher,Porna,Porno,
376246,Toleranz,wertschätznd,offen,WORD,sympatisch,sympathisch,
354737,unnütz,wertlos,überflüssig,WORD,… aber trotzdem schön,aber trotzdem schön,
278121,Durchschnitt,WORD,Mittelmaßzeichen,4.5,Mittlemass,Mittelmaß,
281669,Werkbank,Fabrik,Fließband,WORD,unindividuell,unindividuell,
108654,Schulaufgaben,WORD,Lernerfolg,regelmäßig,mühsig,müßig,
303188,Reagenzglas,Labor,Chemieunterricht,WORD,In vitro,in vitro,
282474,fleißig,WORD,Noten,Schule,strebsam,strebsam,
72771,Eigeninitiative,WORD,Ich-AG,Eigentum,Selbstvertauen,Selbstvertrauen,
92244,Millionär,Geld,Yacht,WORD,trust Fund,trust fund,
143776,Stift,Kuli,Bleistift,WORD,schreibven,schreiben ,
193695,Bühne,auftritt,singen,WORD,perfomance,Performance,
75403,Biene,WORD,Honig,Königin,Feliß,Fleiß,
267091,rein,sauber,WORD,steril,unverschmutzt,unverschmutzt,
84723,Löwe,Mähne,brüllen,WORD,starm,stark,
315229,Weltraum,WORD,Sternen,Galaxie,Planete,Planet,
283934,Tour,WORD,Tourist,tojour,de france,Tour de France,
19412,Internet,WORD,e-mails,Seiten,World wide web,World Wide Web,
215451,Egoismus,gnadenlos,ohne Kompromis,WORD,Selbstführsorge,Selbstfürsorge,
383077,Obama,Präsident,man of color,WORD,Yes we can,yes we can,
56123,klar,unklar,WORD,durchsichtig,Kloßbrühe,Kloßbrühe,
346646,Vorgabe,WORD,Zielvorgabe,Zwang,Planerfüllun,Planerfüllung,
347932,Mörtel,Lugner,WORD,NA,Mörtelmaschine,Mörtelmaschine,
80745,Fremdwörter,Eloquent,Bildungsgrad,WORD,überschäzt,überschätzt,
314490,seriös,anständig,WORD,Firma,Geschäftanlass,Geschäftsanlass,
253086,Hohn,Spott,Gäme,WORD,Bishaftigkeit,Boshaftigkeit,
75429,Lineal,Bleistift,WORD,Linie,geodreick,Geodreieck,
234444,meins,WORD,NA,NA,deins,deins,
115837,Straßenbahn,Gebimmel,Innenstadt,WORD,eiligt,eilig,
8495,Heft,Schule,WORD,Hausaufgaben,liniert,liniert,
380003,Hausaufgaben,Heft,schule,WORD,Pflichteen,Pflichten,
224861,bezahlbar,preiswert,WORD,lohnend,Second Hand,Second-Hand,
33838,Arbeiter,Maloche,Sozialismus,WORD,Geldverdienen,Geld verdienen,
399087,sagen,Sage,WORD,reden,schrechen,sprechen ,
391848,Vaterland,Heimat,WORD,leben,in demland,in dem Land,
136126,Offizier,Hierarchie,WORD,Uniform,Millitär,Millitär,
169440,Brechbohnen,WORD,grün,Garten,Igitt,igitt,
131582,Mongolei,WORD,Steppe,Tartaren,Genghis Khan,Dschingis Khan,
344606,Diktator,WORD,Nord Korea,Absolutismus,Gadafi,Gaddafi,
142667,Zettel,Papier,WORD,Bleistift,Notitz,Notiz ,
184745,wohlfühlen,Warm,WORD,NA,Kuschlig,Kuschlig,
137040,kostenlos,WORD,NA,NA,Open source,Open Source,
314166,Knall,Unfall,WORD,Gerausch,Larm,Lärm,
119759,Pakistan,WORD,Flucht,AlQuaida,Bin Ladn,Bin Laden,
250491,Schnecke,Haus,WORD,zwittrig,Kringel,Kringel,
104718,Umwandlung,Veränderung,WORD,Aufgabe der bisherigen Posizion,Kleiner/Grösser machen,kleiner machen,
261782,Frucht,WORD,Nektarine,NA,pfirsisch,Pfirsich,
262739,Busen,Brust,Geschlechtsorgan,WORD,(weibliches) Geschlechtsmerkmal,weibliches Geschlechtsmerkmal ,
172864,aufgeregt,WORD,Prüfung,Ärgernis,veriebt,verliebt,
233764,Spontan,uneingeübt,kindlich,WORD,Bsuchgefühl,Bauchgefühl,
248731,Nase,Mund,WORD,Augen,schnäutzen,schnäuzen,
341730,Werkzeugkasten,WORD,schwer,Zange,Reperatur,Reparatur,
107452,extrovertiert,laut,WORD,außen,ausse,außen,
47582,ausdrücklich,genau,WORD,befehlen,hinweißen,hinweisen,
288098,nirgendwo,Nimmerland,kein Ort,WORD,Ortlos,ortlos,
77032,Eigenschaften,Tugenden,wichtige Wortart,WORD,einschätzungskriterium,Einschätzungskriterium,
14861,sollen,wollen,müssen,WORD,Soln,sollen,
100364,Südkorea,weltoffen,WORD,Asien,ergeizig,ehrgeizig,
343870,Nachmittag,Tageszeit,Schlaf,WORD,apojewma (griechisch),απόγευμα,
351483,Lücke,Mut zur,WORD,NA,Theaterstück „Die Lücke“,Theaterstück „Die Lücke“,
165853,unterdrücken,WORD,NA,NA,Dikatatur,Diktatur,
157348,Marokko,Nordamerika,WORD,Falafe,*Nordafrika,Nordafrika,
299832,kapieren,verstehen,WORD,Verständnis,checken,checken,
942,Engagement,Mithilfe,WORD,französisch,dabeisein,dabeisein,
296406,WC,Urin,WORD,Toilette,igitt,igitt,
195706,Baltikum,Lettland,WORD,NA,Estalnd,Estland,
306084,Einigkeit,drei,Gott,WORD,heilger Geist,Heiliger Geist,
335704,Rucksack,Bergwanderung,olivgrün,WORD,Verschlussschnalle,Verschlussschnalle,
327334,Chili,WORD,scharf,rot,con carne,Chili con Carne,
70821,konstant,WORD,gleichbleibend,kontinuierlich,dauerhauft,dauerhaft,
254170,Ahnung,Geist,WORD,Kenntnisse,Vorhersicht,Vorhersicht,
194601,gesamt,alles,total,WORD,konplett,komplett,
372064,Verzeihung,WORD,Fehler,Verbrechen,entschudigung,Entschuldigung,
388217,Finsternis,WORD,unheimlich,NA,sternenlos,sternenlos,
102623,Wolkenkratzer,New York,WORD,hoch,Empire State Building,Empire State Building,
148349,Durst,WORD,Wasser,Erfrischung,trinhen,trinken,
240175,Erleichterung,WORD,NA,NA,Aufatmung,aufatmen,
122014,Vergänglichkeit,WORD,Verlust,Trauer,"Tod, Leben, Vergessen werden",Tod,
296115,Eifersucht,WORD,Vertrauen,Beziehung,Partner:innenschaft,Partnerschaft,
113403,Anorak,regen,WORD,rot,kaputze,Kapuze,
97225,meinungslos,Trägheit,Interessenlos,WORD,Abstumpfung,Abstumpfung,
80993,Serbien,Kosovo,Albanien,WORD,sasa stanicic,Saša Stanišić,
385710,verschwommen,Brille,Augen,WORD,Sehrn,sehen,
113213,Kopfkissen,Schlafen,Wissen,WORD,Zahnfeh,Zahnfee,
13916,Menge,Meute,WORD,Menschen,Kiligramm,Kilogramm,
170046,verifizieren,bestätigen,WORD,anerkennen,konfirmieren,konfirmieren,
160458,präsentieren,WORD,Konferenzraum,NA,Präsentatiob,Präsentation,
54194,Staat,WORD,Regierung,Politiker,abzocke,Abzocke,
46704,Leiter,Physik,WORD,Vorgesetzter,Sprossenleiter,Sprossenleiter,
286271,Skizze,WORD,Zeichnen,Bleistift,Zei hnen,zeichnen,
158285,Lokführer,Mütze,WORD,Zug,Jungenstraum,Jugendtraum,
164921,Bekanntschaft,Beischlaf,WORD,Freund,Bekennerschreibe,Bekennerschreibe,
345565,Relation,Gewichtung,WORD,Verhältnis,Abwagung,Abwägung,
250881,Wohlbefinden,Gut,Zufriedenheit,WORD,Kuschelig,kuschelig,
39714,bezeichnen,benennen,WORD,NA,Defintion,Definition,
336337,zusagen,WORD,Ja,Hoffnung,Versperchen,Versprechen,
177785,respektvoll,höflich,jemanden achten,WORD,Taikwando,Taekwondo,
59409,Geschlecht,männlich,weiblich,WORD,skrankheit,Geschlechtskrankheit,
136713,Barock,altmodisch,Style,WORD,stylistisch,stilistisch,
248431,sehr,arg,WORD,doof,schln,schön,
399632,Computer,WORD,gut,schlecht,nützlivh,nützlich,
