id_r,cue,resp_1,resp_2,resp_3,incorrect
323784,Zeug,Gegenstände,mühsam,WORD,rumsteht
220216,Mord,WORD,Soko,Polizei,Agatha Christie
334273,wahnsinnig,Pschiatrie,WORD,schreien,Lamermour
247300,Insel,einsames,WORD,schönes,verlaseness
356603,dran,Termin,WORD,NA,Artzbesuch
120193,sächlich,Thema,Ding,WORD,Sahuntericht
127138,Panik,Angst,WORD,Loveparade,Panikroom
345849,Erscheinung,WORD,beeindruckend,vage,luizide
153501,Meditation,Yoga,WORD,NA,Selbsterkenntniss
313614,nüchtern,alkoholfrei,fahren,WORD,katerfrei
405978,kämmen,bürsten,Loreley,WORD,güldenes Haar
292456,Verwandlung,Umhang,Magie,WORD,Harry potter
40219,geschaffen,gemacht,gestellt,WORD,creiiert
227729,Brücke,Fluss,Verbindung,WORD,San Franzisco
292937,äußerst,WORD,sehr,AUSSERGEWÖHNLICH,ziehmlich
79075,Kongress,WORD,interessant,teuer,dbl
405170,Rohr,Zange,WORD,Post,Scjlauch
182194,zufrieden,Wohlbefinden,glücklich,WORD,unzfrieden
169416,Medaille,Gold,Silber,WORD,Brinze
276813,Held,WORD,Hero,NA,Schutzen
224257,Kabel,WORD,Verbindung,Empfang,elektizität
309695,Kinn,Kopf,Gesicht,WORD,Kinnhacken
163218,undeutlich,ungenau,WORD,Sprachfehler,nuscheln
277547,Lärm,Lautstärke,Störung,WORD,Unkonzentriertheit
106241,Indonesien,China,Reise,WORD,Steff und Sam
256431,Raubtier,Gepard,Löwe,WORD,Tieger
357342,einst,damals,WORD,Vergangen,dermaleinst
310794,ungewollt,Versehen,WORD,NA,ausversehen
275242,Bilder,Gefühle,Kunst,WORD,davinci
227437,schauen,Fernseher,Voyeurismus,WORD,Spiegem
318175,verhaften,Polizei,Verbrechen,WORD,Gefängnisszelle
310364,Metaebene,Dimension,Universum,WORD,paralell
72958,Pferdewagen,gemütlich,WORD,vertrauen,rumpelig
338844,Ankunft,Gepäck,WORD,Erleichterung,arezeption
144169,Fink,Thorsten Fink,Vogel,WORD,August von Finck
84797,Gärtner,Beruf,WORD,im Freien,Pfanzen
218514,Rücksichtnahme,sozial,WORD,bescheiden,Führsorglich
352486,Spieler,WORD,NA,NA,Glücksspieller
27381,Handbuch,WORD,NA,NA,Keine Antwort1
177141,alleine,Single,einsam,WORD,fokusiert
181360,Helfer,WORD,Sanitäter,freiwilliger,verweigerer
378547,geizig,dagobert duck,WORD,Reichtum,kanuserig
322673,CSU,Partei,WORD,Bayern,Strauß (F. J.)
109460,Buddhismus,WORD,naturverbunden,heilig,friedvoll
178660,Ausflug,Wochenende,WORD,Spaß,Abendteuer
268737,Kloster,Kirche,Nonnen,WORD,Klostergartem
295064,Täuschung,Zauberer,WORD,Hase,Optics
129928,destruktiv,selbstzerstörerisch,WORD,gewalttätig,unkonstruktiv
233796,Anruf,Telefon,Gespräch,WORD,Schatzi
255431,Option,Unsicherheit,WORD,nachdenken,wendenpunkt
110887,Kopfkissen,Schlaf,WORD,Ikea,Frau Holle
289886,verschwommen,nicht scharf,WORD,dreckig,verloffen
402573,Ganzes,Teil,Kuchen,WORD,whole
66820,Monat,Schwangerschaft,August,WORD,Janura
239989,Pleite,Konkurs,schlecht,WORD,mislungen
326644,nie,WORD,nicht,nein,immwr
89556,Brettspiel,Schach,Dame,WORD,Mensch äerge dich nicht
297850,Verzweiflung,Gefühl,mutlos,WORD,auswegslos
20337,Prozent,Prozentsatz,Mathematik,WORD,Prozentrechnen
168823,Eule,WORD,Feder,Auge,Cukcuk
339545,Mittelmeer,tote,WORD,antike,mare nostre
144949,Sweatshirt,WORD,Polohemd,pollover,t-shirt
278526,wunderschön,Film,WORD,Werbung,pretty prevelege
86831,mitfühlen,Emotion,traurig,WORD,emathie
58032,EU,Länder,Euro,WORD,Grenzenlosigkeit
376717,Physik,Naturwissenschaft,Schule,WORD,Exerimente
5566,Gewalt,Staat,WORD,Extremismus,Polizeit
62768,politisch,Wahl,Engagement,WORD,Laberei
347885,Sehne,WORD,NA,NA,Teil des Skelettbaus
353536,Herr der Ringe,Gandalf,WORD,Auenland,Hobbits
5836,USA,Vereinigte Staaten von Amerika,Amerika,WORD,Ammiland
128147,S-Bahn,WORD,umweltschonend,Ticket,ÖVM
134600,Verarsche,Veralbern,Streich,WORD,Derbleckn
311644,Individualität,Einzigartigkeit,Individuum,WORD,personbezogen
40474,Parlament,Bundestag,Berlin,WORD,Abgeordnetet
139328,Becken,Waschbecken,WORD,Taufe,Schwimmingpool
100192,Hirse,Getreide,WORD,Märchen,Ökölebensmittel
167060,Beton,grau,hart,WORD,stra§e
177878,Rabatt,Diskount,Nachlass,WORD,Rabattierung
229649,Überfall,Angst,WORD,Verbrechen,sich wehreb
81015,Entschluss,Sicherheit,Entscheidung,WORD,Gesezt
228300,Psyche,und Amor,WORD,fühlen,Pszchologie
239759,Kosmetik,WORD,verschönern,verbergen,Hautpflegeflege
201929,keine Ahnung,unwissend,WORD,ratlos,Dummschwätzer
101172,Flugzeug,Urlaub,sonne,WORD,sardinenbüchse
106258,Platte,Käse,Aufschnitt,WORD,Pläte
229304,Poesie,WORD,anregend,nachdenklich,scgön
38103,Prozess,Gerichtsprozess,WORD,Prozession,techn. Prozess - Ablauf
195203,Impfung,WORD,Masern,NA,imunsystem
361030,Graf,WORD,NA,NA,Yoster
269502,Heizung,Warm,Winter,WORD,él
202916,sensibel,WORD,NA,NA,empindlich
93713,Chemiker,Uni,chemische Elemente,WORD,Erlemeyerkolben
136468,Straßenkarte,kompliziert,WORD,hilfreich,unübersichtig
159897,modisch,trendig,jung,WORD,gutaussehend
113388,charmant,WORD,nett,sympathisch,Prinz Charming
139930,Märzenbecher,WORD,Wal,Wald,figt
381400,Präsident,Chef,WORD,Vorsitz,Respektsperson
224992,Genie,WORD,begabt,klug,kleverle
112827,Slowakei,WORD,Bratislava,Bier,Tschechislowakei
387709,Taube,Gehörlose,Vogel,WORD,gurrt
268645,E-Mail,Austausch,veraltet,WORD,mhsam
242352,sensibel,empfindsam,WORD,zimperlich,mimosenhaft
310484,zurückhaltend,scheu,introvertiert,WORD,unoffen
308016,Stadion,Fest,WORD,NA,konzetz
352499,hierher,Wiese,WORD,Finger,"IDE (ungarisches Wort, Muttersprache)"
157318,Gans,Braten,Travia,WORD,Nils Holgerson
122119,Strickjacke,wärme,Handarbeiten,WORD,kuschelig
236105,Reinheit,Lotusblume,WORD,sanft,Clinique
152537,Schulaufgaben,WORD,NA,NA,gmisch gfühl
387019,Wandschrank,groß,viele Fächer,WORD,zuviel Sachen
311668,vernichten,verbrennen,WORD,Papier,schredern
286580,offenbar,WORD,öffnen,beichten,Vertauen
260365,höflich,WORD,zuvorkommend,angenehm,antsändig
339335,grüßen,Oma,WORD,höflich,fremnde
376796,Währung,WORD,Münzen,Urlaub,d Maek
235503,Straßenverkehr,Autos,WORD,NA,Dahrräder
124907,permanent,dauerhaft,WORD,wohnen,Make-Up
314197,Nachmittag,entspannt,Spiel,WORD,gechillt
263005,verloren,einsam,WORD,verschwunden,aufgeschnissen
150254,Benennung,Name,WORD,direkt,Klassifizerung
339621,schütten,Regen,WORD,Nietsch,Dand
58293,Anforderung,WORD,haben,Angst,gerechtwerden
349915,italienisch,WORD,Rom,NA,Gelato
88039,Chile,Südamerika,WORD,NA,chillie
38253,Heidelberg,Neckar,Uni,WORD,Burschis
15793,feststellen,erkennen,Fazit,WORD,Resumé
113025,Percussion,Trommeln,WORD,Tambourin,Rasselm
162750,Sesam,Eis,Japan,WORD,okinii
311298,Stab,WORD,Zauberstab,Gandalf,Stabchef
129747,übernatürlich,Außerirdische,WORD,Glaube,Esotherik
221815,Zoo,Tiere,WORD,Giraffe,Käfige/Gehege
214639,Rudel,Wölfe,Anführer,WORD,Famille
215453,Gewerkschaft,Aufruhr,Einsatz,WORD,Kollegialtität
71799,Rollschuhe,Sport,Geschwindigkeit,WORD,old fashioned
41103,Revolution,Frankreich,WORD,FALCO,Les Miserables
278416,mystisch,Zauber,sußergwöhnich,WORD,GGlitzer
350171,Fraktion,WORD,Teil,Bundestag,x/y
138329,Argentinien,Südamerika,WORD,warm,brazilien
191113,Ferne,weit weg,WORD,NA,Sehnsuchtsort
194836,Elite,WORD,snobig,NA,netflix-serie
166723,Nachttisch,WORD,süß,lecker,Pana Cotta
205139,Fahne,Stange,Farben,WORD,flag time
325248,prahlen,WORD,reich,Narzist,blöffen
310271,Anordnung,Sortierung,Ordnung,WORD,Mis-en-place
122390,Sojabohnen,USA,Allergie,WORD,eiweis
185514,Neigung,Sexualität,Geschlecht,WORD,honosexualität
188401,Irre,Verrückt,Falsch,WORD,Fehkgeleitet
37237,stellen,Manschaft,etwas übernehmen,WORD,keinne Antwort
276901,vermuten,WORD,glauben,Wissenschaft,denkne
144550,Gegensätze,WORD,Abstoßen,Dialektik,Anziehungkraft
117911,Manipulation,beeinflussen,schlecht,WORD,ungewünscht
118177,Feiertage,Familie,WORD,Urlaub,Weihnachtem
178361,versorgt,AUSGLEICH,WORD,VERSICHERUNG,TAKING CARE
265512,instabil,zerbrechlich,labil,WORD,unrobust
119993,Rollschuhe,Kind,Spielzeug,WORD,Starlight Express
392778,rational,vernünftig,sachlich,WORD,unemotional
35496,vermeiden,ablehnen,abwehren,WORD,neinsagen
283520,Gespenst,Blattlaken,spasz,WORD,huibuuh
315680,tauen,auftauen,WORD,gefrohren,Aggregatszustang
52668,Lage,WORD,Ort,Bett,Lüttje
285713,Falten,Origami,Papier,WORD,Smetterling
72862,Lord,WORD,England,Fantasie Bücher,of the rings
355886,kreieren,Kreation,Kneten,WORD,Kreativismus
253650,Knoten,Segeln,WORD,platzen,Schnürsenke
60877,Beitrag,WORD,Addition,Spende,Mitmach-Aktion
378247,Sekt,WORD,Champagner,Crement,Alkoholisches Sprudelgetränk
100060,Nirvana,nirgendwo,WORD,Musik,Indiander
314147,vernichten,WORD,kaputt machen,verschwinden lassen,zerstörren
122499,Sitz,Auto,Seilbahn,WORD,fersehen
294290,Ratschlag,Duden,Nachschlagen,WORD,Erfahrngen
134024,ungläubig,WORD,Geist,katholisch,Kriche
41759,Verhältnis,WORD,gefährlich,Büro,Affäire
391059,eklig,grün,Essen,WORD,Komd
126602,Humanität,WORD,Menschen,NA,hile
40637,treten,WORD,kicken,stauchen,dappen
122439,Kaffee,heiß,WORD,entspannend,angenehem
240491,Krebs,Gliedertier,WORD,Krankheit,Dekapode
78791,Besonderheit,etwas,Sonderschule,WORD,besotted
8868,lösen,WORD,Rätsel,Chemie,Solution
314376,Gastgeber,zuvorkommend,WORD,GROSSZÜGIG,willkommenheissend
86704,Kasus,WORD,Latein,Fall,knaktus
149853,Zeitrechnung,WORD,Uhr,Zeitloch,Hugo cabret
63707,ziehen,auslosen,Kraft,WORD,wäjöern
107546,Estland,Norden,WORD,Rentier,Talinn
274607,Engel,WORD,NA,NA,weinachten
152236,verrückt,WORD,NA,NA,augeflippl
182246,Urwald,WORD,Regenwald,Afrika,dachungel
62097,Bewertung,Urteil,Prüfung,WORD,Asessment
332657,unfreundlich,WORD,gemein,fies,unsymphathisch
198095,CDU,SPD,WORD,Politikverdrossenheit,Chrisltich
401861,Ehre,hoch,WORD,Respekt,Anerkennnung
48240,sinnvoll,Lebensqualität,WORD,nützlich,ergebnisorientiert
131056,ethisch,Fleisch,WORD,Menschenwürde,Plastikfrei
370731,festgelegt,WORD,dauerhaft,einseitig,vierlleicht
16636,Bildung,WORD,bildhaft,hirndung,geistdung
163834,aufheben,etwas vom Boden aufheben,WORD,etwas aufbewahren,eine Regelung/ein Gesetz aufheben
365985,zupfen,fummeln,WORD,Zupfkuchen,Fusseln
101616,Nashorn,Zoo,WORD,schwer,Trpckenhorn
93236,Andersdenkende,Heiden,Freigeister,WORD,vorrausdenker
28934,unterstützen,Partnerschaft,Hilfe,WORD,Komunikation
49389,gehören,Eigentum,Gehorsam,WORD,"sehen, hören,..."
171512,Panflöte,WORD,Kirche,nervig,Rumänoen
401109,KI,WORD,NA,NA,chatgpt
263576,Lebensstandard,Luxus,WORD,ungerecht,priveligiert
136341,Journalismus,Internet,Zeitung,WORD,Boulevar
17971,Kreis,Geometrie,WORD,schule,tantratreffen
294992,Klaue,TIER,WORD,KATZE,TIEGER
280850,Trottel,Idiot,WORD,Depp,Dummerchen
56622,zusätzlich,plus,weitere,WORD,außerrdem
154560,Aprilscherz,Lustig,Provokativ,WORD,Reinlegen
326741,rauschen,WORD,stille,Natur,white noise
106534,Manuskript,Buch,WORD,Film,Schrifftsteller
112819,Klammer,Wäsche,WORD,Affe,Pa pier
350530,ekelhaft,WORD,pisse,Geruch,igitt
302142,Branche,WORD,Marke,SÜSS,Schoggi
240162,Flamme,lodern,WORD,Feuer,rotgelb
364887,laufend,fortwährend,ständig,WORD,stegend
344425,Tagebuch,Eintrag,persönlich,WORD,DIN A5
278410,Gedicht,WORD,schreiben,Romantik,Poesi
270777,weich,Bett,Federn,WORD,kuschelig
108654,Schulaufgaben,WORD,Lernerfolg,regelmäßig,mühsig
293835,Rathaus,Marktplatz,Politik,WORD,Bürgermeister*in
282624,Selbstmord,WORD,Gewalt,Depression,Suizif
72771,Eigeninitiative,WORD,Ich-AG,Eigentum,Selbstvertauen
83661,Liege,Sofa,sonnen,WORD,Cheselone
135047,sprudeln,Quelle,Wasser,WORD,hervorschießen
180588,Wörterbuch,Dictionary,Leo,WORD,Thessaurus
75403,Biene,WORD,Honig,Königin,Feliß
262679,Tierschutz,Fürsorglich,WORD,gut,ethisch korekt
76261,Hammer,Sichel,nagel,WORD,hammerhart
315398,Frust,WORD,Frost,Faust,gefrustet
284205,Asphalt,WORD,Straße,NA,"Bordstein, Straße"
19412,Internet,WORD,e-mails,Seiten,World wide web
201559,Hahn,krähen,rot,WORD,Kähenfüsse
373287,unterhalten,Gespräch,schwätzen,WORD,quasseln
49782,gestalten,machen,WORD,herstellen,creieren
346975,entkommen,WORD,verstecken,NA,föiehen
343340,zuständig,Ich,WORD,Mutter,Cgeg
72501,zuverlässig,Sicherheit,verlassen,WORD,gutr
311358,einst,vor einer gewissen Zeit,WORD,es war einmal,dazumals
240701,Kammer,Musik,Geborgenheit,WORD,kuschelig
70547,Angestellter,Büro,WORD,Chef,Lakain
234639,Wechsel,WORD,Politik,Wechseljahre,gefuhle
107816,Türkei,Meer,Urlaub,WORD,schwarzhaarig
1617,Hälfte,halb,WORD,unentschieden,50%
370241,Berührung,Kontakt,Zärtlichkeit,WORD,Zweisamkeit
219573,klappen,funktionieren,WORD,versuchen,gutgehen
21549,Perspektive,Leben,Beziehung,WORD,Ferierabend
394097,steigen,klettern,WORD,NA,stägere
387046,Dudelsack,Schotten,WORD,Schottenrock,Culodden
132393,Einschränkung,Behinderung,WORD,Diskriminierung,Barrerie
169510,Straßenkarte,WORD,Kompass,Fahrrad,Google maps
131771,Jacke,WORD,schwarz,Tasche,kaputzenpulli
344815,unterhalten,WORD,amüsieren,Unterhalt,quatchen
138276,Russland,unbekanntes Land,WORD,durch Amerika an die wand getrieben,Unterschätz
390189,Umbruch,Garten,Gesellschaft,WORD,TAgebau
179878,Hauptstadt,Bern,WORD,Bundeshaus,Brüsse
137340,Bankkaufmann,WORD,Anzug,"langweilig, komisch,",oje...BWL
310944,Pickel,Eiter,WORD,eklig,asudrücken
119807,Kopfsache,WORD,Wand,Entbehrung,Smartismus
244952,Medien,Facebook,WORD,Faktencheck,NEtflix
101300,Anrede,förmlich,WORD,NA,geeehrte
262131,Geschwindigkeit,WORD,Auto,Flugzeug,km/ h
252288,Fragezeichen,Ausrufezeichen,unklar,WORD,nachkaken
173065,versorgen,WORD,Unordnung,hinter Gitter,verräumen
222444,Weide,Kühe,Gras,WORD,Wiederkauen
243275,Freizeit,Wochenende,WORD,Entspannung,Hobby's
341980,entkommen,WORD,fliehen,Angst,Gefaegnis
103307,Dreher,Zahlendreher,WORD,Drehbank,schreubendreher
42121,Linie,gerade,WORD,Übereinstimmung,richtungsgebend
275970,Zitat,Wörter,dichter,WORD,denekr
67833,amerikanisch,Amihaft,USA mäßig,WORD,Yankeehaft
417,Kommunikation,Interaktion,reden,WORD,Kommunikations Design Design
96308,Anstreicher,Malerarbeiten,WORD,Familienbetrieb,Lacj
333491,abrufen,Rückzug,nominieren,WORD,herkommandieren
346099,Los Angeles,Amerika,WORD,hohe Gebäude,Route66
166014,Fremdwörter,WORD,Latinismen,Wissenschaft,Xenoverba
151896,Percussion,Trommeln,WORD,Musik,Dread-Locks
296428,biegen,metal+,WORD,wiegen,köpergewicht
402033,Glocke,WORD,Instrument aus Metall,gewölbter Teil eines Beckens,Konzerthaus (Bremen)
292088,Pickel,schmerzen,WORD,Pubertät,Pickelmale
190233,Kriminalität,Einbruch,WORD,Problem,diebstagl
296408,säubern,putzen,Zähne,WORD,schruben
324441,hin,her,zu,WORD,hinwärts
327395,Bilanz,WORD,NA,NA,g + v
70821,konstant,WORD,gleichbleibend,kontinuierlich,dauerhauft
248516,schlafen,müde,WORD,schnarchen,Betr
181151,hervorheben,anstreichen,markieren,WORD,dartun
372495,Regie,WORD,NA,NA,Film kkino Berlinale
386477,Esel,Tier,grau,WORD,kuschelig
388881,Buchmesse,WORD,Bücher,NA,zuviel
99209,Stromkasten,Strommast,WORD,Bilder,runterspringen
148381,Kamel,WORD,Sand,Treiber,wuste
240379,Selbstverwirklichung,WORD,eigenständig,zufrieden sein,"tun, was man gerne macht"
122152,Bücherschrank,WORD,Holz,groß,Tribute von Panem
296279,Fischer,WORD,Beruf,Fisch,Berug
109339,Schönheit,jung,WORD,Vergänglichkeit,attrativ
88955,Kakao,trinken,backen,WORD,entölt
72723,ehrgeizig,sparsam,Schwabe,WORD,unsympatisch
390199,Klassik,Musik,Kunst,WORD,Accordate
105372,Chaiselongue,Oma,Ruhe,WORD,"gemusterter, dunkelroter, weicher Stoff"
7009,Berücksichtigung,Respekt,WORD,Wahrnehmung,Betrachtnahme
165123,Lauge,Basisch,WORD,Laugenbretzel,GGT Säure
160546,heften,WORD,nähen,kleben,tackern
54194,Staat,WORD,Regierung,Politiker,abzocke
380934,Posaune,Blechbläser,Golden,WORD,Vor-und rückwärtsbewegung
41223,USA,Massachusetts,WORD,Boulder,Rocky Mountains
286533,Fischer,WORD,Hut,See,Angelschnuur
152712,auswirken,Ergebnis,WORD,Einfluss,beinflussung
160504,Mond,rund,WORD,Werwolf,Grlb
342272,Spucke,Ekel,WORD,Dreck,Kotzbrocken
238088,Mund,Kuss,reden,WORD,dchön
34275,Diskurs,Reden,WORD,NA,Diskusion
336502,Pommes,WORD,Currywurst,Lecker,Frittes
166431,Sessel,Kissen,Bezug,WORD,Furzer
47401,Medium,TV,Computer,WORD,alltagsbestimmend
129083,Artikulation,Ähm,öh,WORD,hmm
242756,sportlich,fit,WORD,gute Leistung,hochgestecktes Ziel
399909,Hand,WORD,Händigkeit,Handwerk,"Ring, Fingerfertigkeit, Handwerk"
285622,Würde,König,WORD,UNO Menschenrechte,Singing in the Rain
9489,Jude,WORD,Beschneidung,Drittes Reich,Bar Mizwa
389515,Alarm,laut,Krach,WORD,Wahrnung
144473,Drossel,Vogel,Regenwürmer,WORD,amselgroß
34091,Oktober,Monat,Herbst,WORD,Semesteranfang
100966,kostenlos,geschenkt,WORD,gratis,Für umme
309795,Wichtigkeit,Dringlichkeit,Reihenfolge,WORD,Grossmannsssucht
110077,Zuschauer,Publikum,WORD,Konzert,Frrnsehen
381646,Plastik,Material,WORD,Kunststoff,unkaputtbar
339331,Porzellan,Tasse,Kelch,WORD,kunstz
176561,über,darüber,WORD,worüber,darüberhinaus
26260,Gericht,Essen,Richter,WORD,Gerichtssal
108140,Architekt,Entwerfer,Raumdenker,WORD,Materialformer
147063,kriechen,schleichen,WORD,sich ducken,krabeln
128751,argumentieren,diskutieren,auseinandersetzen,WORD,kompromis
150198,Känguru,WORD,Beutel,hüpfen,Ausralien
336393,sympathisch,Mädchen,WORD,nett,Frsu
17423,Generation,WORD,Kinder,Oma,50+
3704,Handbuch,TV,regeln,WORD,bescheidwissen
367888,Evolution,WORD,Menschheit,Tiere,entwickung
80840,Selbstbild,verzerrt,spiegel,WORD,schln
323944,insbesondere,auch,WORD,vor allem,exzeptionell
310333,pink,WORD,rosa,knallig,Babykleidung (Mädchen)
137465,Urin,Schwanz,WC,WORD,piss
379403,unmöglich,unmachbar,WORD,doch,gibt's nicht
394762,Studio,Filmstudio,WORD,NA,Malerstudio
55150,Mann,Liebe,bequem,WORD,beratungsresistent
287334,geil,erotisch,WORD,NA,Spasss
349828,Nudeln,Bolognese,WORD,a la Nonna,AI Schuta
294413,Ärmel,Pullover,WORD,NA,Tshirt
115167,Paprika,rot,Tomate,WORD,Ratattouille
350388,Zürcher,"ja, war in Berlin",WORD,See,Geschnezeltes
209394,versorgen,Vorsicht,WORD,Prüfen,Vorrausschau
313137,Asche,Tod,schwarz,WORD,Äschermittwoch
316926,unvollständig,WORD,NA,NA,unkomplet
236677,stur,mein Mann,ich,WORD,kann man aber auch Beharrlichkeit nennen: dann positif
238896,Schuhe,WORD,Stiefel,Absätze,High Heels
95360,auffassen,abpassen,graben,WORD,grabschen
141307,Fleiß,Ausdauer,Strebsamkeit,WORD,Ziebstrebigkeit
392857,Zwerg,Mütze,WORD,Garten,Knollnase
345176,Dollar,USA,WORD,Schein,verbrecheb
180730,exakt,genau,richtig,WORD,erwartungserfüllend
154578,Australien,Ozeanien,WORD,Neuseeland,Kanguruh
99572,Halstuch,Kopftuch,Pfadfinder,WORD,Schariabraut
71870,Brühe,Suppe,WORD,schlechtwetter,atterbergzylinder
337191,Milliarde,Viel Geld,WORD,NA,VielenEinwohner
70232,bereuen,Einsicht,WORD,Verzeihung,Leidtun
313797,Pünktlichkeit,Zeit,Gut,WORD,Vorblidlich
368825,Allergie,Pollen,WORD,Hausstaub,Cortisonsalbe
10413,übernehmen,WORD,negativ,Überschätzung,zuviel
160414,Personalrat,WORD,Mitarbeiter,Betriebsrat,Human Resources
129576,Tisch,Bein,Stuhl,WORD,op - Tisch
222528,zocken,WORD,Wucherer,betrügen,abzocken
137073,undurchsichtig,intransparent,WORD,Milchglas,poitik
331862,damalig,Vorzeitlich,zurückliegend,WORD,Kukucksuhr
184438,Onkel,WORD,mein anderer Onkel,Tante,"Fritz (mein kürzlich verstorbener, sympathischer, Onkel)"
212381,emotional,weinerlich,Softie,WORD,Heulsuse
119888,Strickjacke,Alt,WORD,Opa,uncool
229411,Irre,BKH,Wahnsinn,WORD,Kuckucksnest
375319,Freud,WORD,Alt,Erster,Psychoanalist
182114,Ewigkeit,tot,Weltall,WORD,"stets, immer"
10324,Wandel,Wende,Geschichte,WORD,unspürbar
176172,ermitteln,lösen,WORD,Polizei,Dedektiv
233142,Melodie,Musik,Lied,WORD,Summsummsumm
146911,überbringen,abgeben,ausrichten,WORD,hintragen
270136,Durchschnitt,Note,schule,WORD,langeeilig
346903,Bürgermeister,Amtsinhaber,WORD,Kettenträger,Mehr Thomasse als weibl. Bürgermeister
19017,Zeichen,Schild,WORD,Mystik,Pictogramm
389208,Muttertag,Blumen,WORD,Verweigerung,Geschenkezwang
8785,haben,WORD,verlieren,habm,bestizen
25006,Untersuchung,Arzt,WORD,Abtasten,Deinfektionsmittel
15043,erreichen,Ziel,WORD,NA,achieve
311727,Jack,WORD,In the Box,Jones,in the Bx
364867,Pommes,WORD,Schwimmbad,gut,frites
16345,Partner,WORD,Ehe,Wohnen,Gatte/ Gattin
128797,Chaiselongue,Französisch,Schlafcouch,WORD,Refmdwort
173166,Karotte,essen,orange,WORD,knackig
399793,erheblich,hoch,bezahlbar,WORD,machbA
121043,Aussicht,WORD,Balkon,NA,"wärme, blumen, sonne"
386129,Neuigkeit,Zeitung,Klatsch,WORD,nformation
151472,Intelligenz,nötig,Vorteil,WORD,vermutlich trainierbar
303143,Lady,Dame,WORD,Adel,vernehm
84783,Gleichheit,Emanzipation,WORD,NA,Matheaufgabe
143121,Vereinigung,WORD,Zusammenkunft,gemeinsam,koaliation
254356,Waffen,krieg,WORD,Schutz,sinnnlos
102460,hingehen,weggehen,WORD,ankommen,rausgehen
279880,Misstrauen,Abstand,Zweifel,WORD,kapputt
300720,Grüne,Wiese,WORD,Farbe,hellgrün
319256,konstruktiv,vernünftig,WORD,friedliebend,lösungsorientiert
