id_r,cue,resp_1,resp_2,resp_3,incorrect
8255,Überblick,WORD,alles im Griff haben,Ruhe,"Ruhe, alles im Griff haben, Führungskompetenz"
8271,Umsetzung,WORD,NA,NA,zusetzung
8630,Hintergrund,WORD,Bild,Absicht,Geschcihte
8651,fünf,WORD,Zahl,sechs,Wort auf -nf
8671,Umstand,WORD,schwanger,NA,smoden
8688,Gründung,WORD,Gründer,Geschäft,unternehmensgründ
8785,haben,WORD,verlieren,habm,bestizen
8823,bürgerlich,WORD,Revoltion,Rechte,Sanscoulottes
8854,Fehler,WORD,Return-Taste,lernen,rückgänig machen
8868,lösen,WORD,Rätsel,Chemie,Solution
8987,Ethik,WORD,Religion,Kommission,Abtreitbung
9075,Zusammenfassung,WORD,kurz,Ende,Resumé
9102,ausführlich,WORD,ausschweifen,viel,ausschweifig
9119,Anhang,WORD,KEINE ANWORT,KEINE ANWORT,KEINE ANWORT
9181,wissen,WORD,macht,NA,know how
9294,Auswahl,WORD,Qual der Wahl,Vielfalt,multible Möglichkeiten
9300,Sommer,WORD,Sprosse,Zeitumstellung,En somero (aj aj aj ja ja ohhh....)
9310,erklären,WORD,explicar,erläutern,explain
9330,betroffenen,WORD,Angehörigen,zugehörenden,Dativ/Akkusativ/Plural betroffen
9332,Verantwortung,WORD,Erwachsen,normativ,responsibility /responsabilidad / responsabilité
9489,Jude,WORD,Beschneidung,Drittes Reich,Bar Mizwa
9789,dürfen,WORD,leben,frei,Bedürfniss
9790,Autor,WORD,Fantasie,Zauber,Schrifsteller
9857,Fall,WORD,stürzen,verbrechen,dedektiv
9903,Ergebnis,WORD,Prüfung,Stress,toefl
9926,Kaiser,WORD,Monarchie,Bismarck,Wilhelm ll
9933,London,WORD,Hauptstadt,London Eye,Großbritanien
10107,Franz,WORD,Beckenbauer,Keine Antowrt,spielt bei Jungla Jazz
10175,negativ,WORD,schlecht,Foto,positv
10182,beziehen,WORD,ableiten,NA,assozieren
10227,Standard,WORD,hoch,Erwartungen,Qualtiät
10256,Zusammenhang,WORD,Lösung,verstanden,kompex
10321,Formulierung,WORD,Regel,Ton,rumdrucksen
10390,Argument,WORD,ruhiges reden,Anstrengung,baseballbat
10413,übernehmen,WORD,negativ,Überschätzung,zuviel
10458,gehören,WORD,Besitzansprüche,dazugehören,Besitzansrpüche
10544,Deutsch,WORD,Sprachpolitik,Norm,Varietätenvielfalt
10554,Bedingung,WORD,Notwendigkeit,Vorwand,Logik/Philosophie
10601,Bezeichnung,WORD,Semantik,Arbiträr,Bennenung
10689,bezeichnen,WORD,sagen,NA,bennenen
10713,Tradition,WORD,Kirmes,Alter,sollten geflegt werden
10721,Dimension,WORD,Kunst,3D,Science Fiction
10723,Juli,WORD,Bandname,x,Somemr
10729,Internet,WORD,Firefox,Facebook,World wide web
10851,erfolgen,WORD,SCHLUSSFOLGERN,sich anschließen,nachsichziehen
10908,gut,WORD,Sonne,Frieden,schmerzfrei
11095,Trennung,WORD,Loslassen,Orientierungslosigkeit,Erwachsenwerden
11106,Sicherung,WORD,Transportsicherung,Einhaken,Testmachen
11218,Gott,WORD,ich,albern,gibts nicht
11355,primär,WORD,erster,allem voran,sekunder
11387,sinnvoll,WORD,fleißig,NA,unötig
11462,Untersuchung,WORD,Polizei,Finanzamt,Azrt
11467,Gegensatz,WORD,Anziehung,Analogie,Äquivlent
11500,Vertrag,WORD,Gesellschaft,Sicherheit,Miet
11537,Max,WORD,Minimax,ein Bekannter,"Moritz,"
11548,eindeutig,WORD,Eindruck,denken,zwideutig
11638,allgemein,WORD,theoretisch,befinden,oberflächllich
11663,Körper,WORD,nackt,Schmerz,Bodymaßindex
11763,Angebot,WORD,Unterbreitung,Wahlmöglichkeit,Overte
11766,Luft,WORD,Atmen,Gefühl,Lebenselexier
11820,spezifisch,WORD,weiß ich nicht,keiner,achso
11876,Produkt,WORD,Luxus,Qualität,Geldausgeben
11966,Industrie,WORD,Hersteller,Produktfertigungen,Wirschaft
12046,Konflikt,WORD,Streit,Lösung,Managment
12112,ändern,WORD,wechseln,NA,switschen
12127,allein,WORD,einsam,alleingelassen,zuzweit
12154,Lösung,WORD,Resultat,Base,Ergebnisn
12279,Dank,WORD,schön,NA,Sagung
12303,Herkunft,WORD,Heimat,fremd,Auskänder
12351,lernen,WORD,Uni,immer,učiti
12419,Heinrich,WORD,langeweilig,Kaiser xy,Altdeutscher Name
12450,vermutlich,WORD,mutmaßlich,vielleicht,wahscheinlich
12547,wissenschaftlich,WORD,Wahrheit,Sachlich,Evaluirt
12657,Norm,WORD,Form,Struktur,Gedetz
12699,Kontext,WORD,Soziologie,Umfeld,Wissensvhaft
12729,Person,WORD,Persönlichkeit,Wesen,Persona non grata
12738,falsch,WORD,richtig,besser machen,nee nich
12749,Marketing,WORD,Schlafen,Schule,Frau spleiß
12753,Wiesbaden,WORD,Landeshauptstadt,Main,Wiesbadener Straße
12826,Journal,WORD,Papier,Bilder,Rosalux
12869,erforderlich,WORD,obligatorisch,Vorschrift,vorraussetzung
12902,Einführung,WORD,Buch,Neues,Univeranstaltung
12903,erwarten,WORD,planen,Hohe Erwartung,voraussetzungsreich
12994,Alter,WORD,Liebe,Verwandschaft,Geburstag
13091,zeigen,WORD,geben,NA,Affrikaten
13118,England,WORD,Nordsee,Tee,Großbritanien
13147,März,WORD,Wärme,Schnee,Krokuss
13228,Umgang,WORD,mileu,Hauswand,umleitungsschild
13231,Personal,WORD,Ausweis,Lohnabrechnung,weiße Tichdecke
13236,zehn,WORD,schwarz,Zahn,einsnull
13241,Dialog,WORD,Menschen,Sprache,Gesrpäch
13271,Zukunft,WORD,Gegenwart,Neues,Vergangenheut
13315,Martin,WORD,behäbig,Breite,Gansn
13531,Umgebung,WORD,Landschaft,Um einen herum,景色
13557,Pflicht,WORD,Schuld,Zwang,Prinzipie
13760,Stufe,WORD,Karriere,stolpern,treppenhau
13761,Gefahr,WORD,runterfallen,angst,freuer
13765,Kern,WORD,wichtig,drin,nuklus
13829,zeigen,WORD,Finger,hindeuten,aufzeugen
13831,Alter,WORD,Finger,hindeuten,aufzeugen
13854,Vordergrund,WORD,Untergrund,Wasser,hintergrung
13897,Paul,WORD,Depp,Hans,Ailen
14042,Mittelpunkt,WORD,Zentrum,Mittelerde,Larp
14080,Verhalten,WORD,unüberlegt,Menschen,assozial
14270,Grund,WORD,Unfall,Zweck,Ürsache
14300,Technik,WORD,Industrie,Computer,Wisschenschaft
14301,bieten,WORD,EBAY,überbieten,Bieterkrieg
14303,klein,WORD,kleine Schuhe,keine Ahnung,Torsten Kleinstück
14432,Perspektive,WORD,planen,Kamera,Zukunf
14491,Qualität,WORD,Steve Jobs,Teuer,Markenlabel
14582,England,WORD,London,Land,Großbritanien
14628,Umgebung,WORD,grün,Ausflug,rausfahren
14633,Jürgen,WORD,Deutsch,Band,Big Brother
14728,Ressource,WORD,Wasser,Geld,Ressourcenorientiert
14774,machen,WORD,erschaffen,Hände,tuen
14865,Deutsch,WORD,Unterricht (Kompositum),Brezel,Land (Kompositum)
14919,Deutschland,WORD,Berlin,Heimat,"schwarz, rot, Gold"
14938,Wien,WORD,Sachertorte,Schloss,Östereich
14980,gegenüber,WORD,schräg gegenüber,NA,vis a vis
14981,Überblick,WORD,NA,NA,Duchblick
15034,Realität,WORD,Traum,Wahrheit,Wirklichket
15131,Schwierigkeit,WORD,difficult,Schwierigkeitsgrad,anstrendend
15135,Behandlung,WORD,Physiotherapie,Kosmetik,Artzpraxis
15180,Europa,WORD,Europaparlament,Brüssel,Finazkrise
15216,zusätzlich,WORD,Außerdem,Mehr,Darüberhinaus
15303,überwiegend,WORD,männlich,schlank,uebermaessig
15305,Zusammenfassung,WORD,Text,Arbeit,Resumé
15427,Widerstand,WORD,Istanbul,Türkei,Gezipark
15444,Rom,WORD,Vatikan,Tiber,urbs eterna
15494,lernen,WORD,NA,NA,anneignen
15587,Tag,WORD,Schlaf-Wach-Rhythmus,Murmeltier,Hallöchen
15703,Sicherung,WORD,schloss,NA,ansperrung
15783,folgen,WORD,mitkommen,zusammen,hinterhergehen
15785,Rudolf,WORD,Mooshammer,Nachbar,Renntier
15837,Vergangenheit,WORD,NA,NA,pasado
15934,Internet,WORD,Information,schnell,Comuter
16015,Zeitung,WORD,maganzin,lesen,gazeti
16147,Erde,WORD,Blau,Sauerstoff,Planete
16292,amerikanisch,WORD,patriotisch,geschitsunwissend,Fast food
16345,Partner,WORD,Ehe,Wohnen,Gatte/ Gattin
16479,Auffassung,WORD,NA,NA,sgabe
16619,Analyse,WORD,anal,Untersuchung,lysoform
16636,Bildung,WORD,bildhaft,hirndung,geistdung
16642,allgemein,WORD,Gemeinheit,Allmacht,allegemein
16673,Notwendigkeit,WORD,Alternativlos,GEMUSST,Erforderniss
16689,Krise,WORD,Beratung,psychosomatische Störung,exestentielle Not
16696,national,WORD,ausgrenzend,stur,antikulturell
16714,verstärken,WORD,unterstützen,dominieren,bekräften
16716,vertreten,WORD,eintreten,einspringen,austausschen
16795,Patient,WORD,NA,NA,zu Behandelnde/r
16817,Vordergrund,WORD,Vorne,Nahe,Horisot
16819,Buch,WORD,Heft,Schwarte,ipad
16833,Mädchen,WORD,Mägdlein,Herrlein,Jüngelchen
16834,Differenzierung,WORD,Zweierlei,NA,Untesrchiede
16871,online,WORD,Internet,NA,up to date
16890,Therapie,WORD,Krankheit,Unfall,Medinzin
16952,Beziehung,WORD,Wirschaft(sbeziehung),beziehungslos,Bezeihungsskriese
16968,wichtig,WORD,rot gemarkert,Aktion,bedeutent
16974,gering,WORD,klein,wenig,(gring)schätzig
17019,Hinblick,WORD,Weitblick,Einblick,kein Antort
17026,Kommission,WORD,Anordnung,Verwaltung,Assisten
17104,Umfeld,WORD,Umgebung,Heimat,Sozialisaton
17158,Partner,WORD,Partnerschaft,Geschäftspartner,(Ehe)Partner
17165,Erklärung,WORD,genau,achso,häh
17324,Spiegel,WORD,Zeitschrift,Schneewittchen,Reflektionsfläche
17333,Main,WORD,Rhein,Wein,Frankfurt/ Main
17405,Variable,WORD,gesucht Möglichkeit,verschieden,Unbekannnte
17423,Generation,WORD,Kinder,Oma,50+
17438,unterstützen,WORD,positiv,Eltern,caritativ
17479,Typ,WORD,Seltsamer Kerl,Palme,Nunja
17505,Stellung,WORD,Meinung,Position,opinion
17532,politisch,WORD,Mafia,reich,betriwbswirtschaft
17658,Funktion,WORD,Körperabläufe,NA,Amt/Tätigkeit ausüben
17699,strategisch,WORD,Firmenleitung,Wirtschaft,Miltitär
17747,Thomas,WORD,Unglauben,Brillenträger,Mayonnese
17763,Untersuchung,WORD,Bedarf,Fachkenntnis,ergebnisoffen
17774,Gegenstand,WORD,Thema,Objekt,dingl. Sache
17818,modern,WORD,puristisch,Geschmackssache,in/en vogue
17908,sicherlich,WORD,möglicherweise,fast,unbstimmt
18023,Stufe,WORD,sorge,Geduld,Schwerigkeit
18106,einzig,WORD,NA,artig,undallein
18108,Planung,WORD,Zeit,Einteilung,organization
18130,gemeinsam,WORD,Einigkeit,miteinander,zuzammen
18196,Problem,WORD,Fehler,NA,hinderniss
18202,gelten,WORD,Ansehen haben,aufsehen,in Kraft sein/stehen
18410,Band,WORD,Beatles,Abba,Rolling Stones
18437,gelten,WORD,Wert,Geltungsdrang,gildet nicht
18589,Anerkennung,WORD,Lächeln,Zufriedenheit,Schulterklopfen
18658,Leitung,WORD,Team,Führungskompetenzen,Chef/in
18673,USA,WORD,Mittlerer Westen,Autofahren,USAirways
18687,Wien,WORD,Sissi,Stephansdom,ja mei
18701,Umsetzung,WORD,Implementierung,etwas Schaffen,Machertyp
18777,grundsätzlich,WORD,aus Prinzip,generell,eigenlich
18852,Prinzip,WORD,Nervig,NA,Prinzipienreiterei
18860,Deutschland,WORD,Heimat,Allemagne,Tschland
18934,Arbeit,WORD,Mühsal,Arbeitslosigkeit,Labor improbus
18974,fehlen,WORD,ausbleiben,vermissen,Misstand
19383,Leipzig,WORD,Dresden,Osten,einundleipzig
19412,Internet,WORD,e-mails,Seiten,World wide web
19432,langsam,WORD,dräge,fraul,schneke
19436,Rudolf,WORD,weinachten,rote Nase,reentier
19440,Zukunft,WORD,Beruf,NA,Science Fiction
19495,Charakter,WORD,Persönlichkeiten in einem Buch,NA,(Charakter) Eigenschaften
19518,feststellen,WORD,lernen,begreifen,schliesen
19546,Dienstleistung,WORD,Büro,x,Beante
19562,Identität,WORD,Ausweis,Rolle,Sinnkrise
19601,Methoden,WORD,Forschung,Beschreibung,Materials Methods
19745,Liste,WORD,Ausschluss,Excel,To do
19813,konkret,WORD,abstrakt,krass,fallspezifisch
19814,Situation,WORD,Unfall,gespannt,Gefahrt
19832,Liste,WORD,merken,NA,erledingen
19884,verpflichten,WORD,Kirchliche Trauung,Bundeswehr,Zöllibat
19971,Gewinn,WORD,Verlust,Auszahlung,Erlöß
19978,Wilhelm,WORD,Busch,Kaiser,TEll
19981,zeigen,WORD,Finger,Welt,draufzeigen
20072,Hermann,WORD,Gerland,männlicher Vorname,der Etrusker
20144,England,WORD,London,britisch,Großbrittanien
20148,sein,WORD,London,britisch,Großbrittanien
20376,Max,WORD,rote Haare,frech,Stoppelhaare
20474,Artikel,WORD,Aufsatz,Zeitung,"der, die, das"
20502,Erkenntnis,WORD,Erleuchtung,Resultat,aha-effekt
20508,John,WORD,Maynard Keynes,rufe,Maynard (Gedicht)
20547,spielen,WORD,suchten,ablenken,daddeln
20660,Umstand,WORD,störend,Tatsache,Obstakel
20706,Sprache,WORD,schwierig,faszienierend,vielfaältig
20714,Mensch,WORD,Zivilisation,Natur,Homo Sapiens
20900,Unterschied,WORD,gut,NA,schwarz/weis
21128,Lage,WORD,NA,NA,idyllisch (e Lage)
21149,Volk,WORD,Bauern,frz. Revolution (wir sind das Volk),Fundament (des Staates)
21195,New York,WORD,heiß,Urlaub,Empire State Building
21206,Grund,WORD,Kausalität,Grundstück,Boden (Grund und Boden)
21216,wissenschaftlich,WORD,präzise,Evidenz,Religös
21358,Michael,WORD,Michel in der Suppenschüssel (Astrid Lindgren),Der deutsche Michel,Micheal Ende
21412,ernst,WORD,streng,steif,the importance of being ernest
21429,Einführung,WORD,Erklärung,Zusammenhang,Einletung
21496,Prinzip,WORD,Wiederholung,stur,Prinzipientreue
21521,Grenze,WORD,Land,überschreiten,presönlich
21640,Kontakt,WORD,Treffen,Freundschaft,Gemeinsmkeit
21701,Wahl,WORD,Demokratie,Willensfreiheit,Quahl
21779,acht,WORD,Billard,unendlich,negen
21864,prägen,WORD,Münzen,Persönlichkeit,Prägephase
21917,Herz,WORD,rot,Flammen,Koronararteriosklerose
22031,ausschließen,WORD,abschließen,abgießen,ausscheißen
22167,Tradition,WORD,Hochzeit,famliie,kulutur
22205,Aufgabe,WORD,leisten,nachvollziehen,übernehen
22278,Service,WORD,Angebot,dienen,Diensteistung
22432,Zentrum,WORD,Centromer,Mittelpunkt,neudeutsch: City
22558,Jugend,WORD,Spaß,Schule,Kindheut
22581,begreifen,WORD,lernen,NA,verstehene
22715,Kampf,WORD,Niederlage,Verletzung,Sieg/Gewinn
22828,zitieren,WORD,Einstein,Gandhi,Quotes
22833,Konkurrenz,WORD,Ressourcen,Karriere,facilitation
22856,sinnvoll,WORD,machbar,logisch,unnsinnig
22936,Tätigkeit,WORD,Beruf,Beschäftigung,Ausfuhrung
23045,Vermittlung,WORD,Arbeitsagentur,Job,Online dating
23118,Methoden,WORD,Methodentrainig,Test,wisschenschaftlich Forschung
23136,lernen,WORD,Schule,Studium,popernen
23196,Bundesrepublik,WORD,Kanzler,Adler,Deutschalnd
23266,gleichzeitig,WORD,parallel,währenddessen,zeitglich
23314,nötig,WORD,wichtig,wird gebraucht,umbedingt
23669,Argument,WORD,Streit,Durchsetzen,Disskusion
23753,Zukunft,WORD,NA,NA,plannen
23830,Heimat,WORD,Vaterland,Fremde,Deutschlad
23842,untersuchen,WORD,Zahnarzt,Hausarbeit,Dktor
23883,Region,WORD,Ostalbkreis,Berge,Baden-Württember
23903,Weltkrieg,WORD,Ermordung,Waffen,Hitle
23904,Lehrer,WORD,haben studiert,Schule,Respektsperson
24076,direkt,WORD,Umweg,unmittelbar,punkt-zu-punkt-verbindung
24159,freilich,WORD,natürlich,selbstverständlich,aufjedenfall
24161,Dienst,WORD,Arbeit,Zivildienst,dienster
24170,treten,WORD,Bein,Festtreten,Fusball
24362,Heidelberg,WORD,Bach,Elite-Uni,Unistadt
24513,ständig,WORD,wendig,immer,bändig
24587,Morgen,WORD,guten Morgen,frisch,stund hat Gold im Mund
24612,Angaben,WORD,Bafög,Eltern,Ergebnise
24613,Carl,WORD,Vorname,Mann,Baresek
24761,Köln,WORD,Kölner Dom,Fasching,Jecken
24918,Krise,WORD,Geld,Rezession,midlife crisis
24984,Absicht,WORD,willentlich,absichern,absichslos
25184,Interesse,WORD,Sport,Briefmarken sammeln,Hobbies
25229,Identität,WORD,Mensch,Personalausweis,Jason Bourne
25241,gleichzeitig,WORD,arbeiten,NA,mehrer Dinge tun
25302,Vorstellung,WORD,Zirkus,Bild,Bwerbungsgespräche
25396,einigen,WORD,debatieren,vertragen,komprmisse
25706,Verfügung,WORD,Verfügungsgebäude,Bereit,Etw zur Verfügung haben
25714,Ludwig,WORD,Schloss,See,quatorze
25720,Wilhelm,WORD,Neurotiker,Eitelkeit,Prahler
25734,kulturell,WORD,Hohkultur,Kulturressort,culture as the whole way of life
25786,Vater,WORD,streng,verständnislos,Pater familias
25799,national,WORD,Kultur,international,landestypisch
25895,freilich,WORD,alter Mann,Berge,ja (freilich) in komischem Akzent
25896,Abteilung,WORD,Firma,Zug,bu (japanische Vokabel)
26039,Wien,WORD,Mitbewohner,NA,Östereich
26079,New York,WORD,Amerika,Metropole,Times Square
26086,Klaus,WORD,Maus,klau es,Tachen
26105,Sowjetunion,WORD,groß,Vergangenheit,gibts nicht mehr
26127,grundsätzlich,WORD,prinzipiell,immer,Vorraussetzung
26201,Revolution,WORD,Tunesien,Freiheit,Jasmin-Revoltution
26232,Vertrag,WORD,Unterschrift,NA,Versaille
26292,existieren,WORD,beweise,Wissenschaft,soich bewusst sein
26507,heute,WORD,Aktualität,Brücke zwischen gestern und morgen,Carpe diem
26513,verlieren,WORD,Tod,Enttäuschung,Tunier
26514,handeln,WORD,bewerkstelligen,machen,tuen
26544,Einheit,WORD,gemeinsam,NA,gleliches
26565,zusätzlich,WORD,dazu,noch,zuviel
26674,Steuerung,WORD,Kybernetik,Kontrolle,Abgleichung
26722,Verhältnis,WORD,Beziehung,Bezug,Gliebte/r
26781,offensichtlich,WORD,erkennen,NA,Ausehen
26858,Energie,WORD,Öl,Wind,georessourcen
26929,Energie,WORD,Kraft,NA,positive Engergie
26973,Management,WORD,NA,NA,kontrolling
26975,Überblick,WORD,erhaben,Plan,Weitsicht
27013,Abgrenzung,WORD,Antisemitismus,Sperrgebiet,Nazionalsozialismus
27021,Vergangenheit,WORD,früher,Erinnerung,Past tense
27030,Management,WORD,gehobene Position,Geld,Schulmanagment
27051,Produkt,WORD,Edukt,Multiplikation,hertstellung
27093,Differenz,WORD,Minus,Unterschied,Differtialgleichung
27120,Qualität,WORD,gute Verarbeitung,NA,Gütestandarts
27144,Uhr,WORD,tickt,Arm,Zeitt
27217,Richard,WORD,König,Elektromeister,Weizsack
27221,versuchen,WORD,Probieren,Mut,To try
27286,Status,WORD,NA,Facebook,Status quo
27381,Handbuch,WORD,NA,NA,Keine Antwort1
27519,online,WORD,Rollenspiel,offline,Emails
27541,staatlich,WORD,privat,anerkannt,Fachinger
27588,Untersuchung,WORD,gründlich,genau,Doktor/Arzt
27598,Heinrich,WORD,Mann,der Wagen bricht,der Metzgershund
27603,ehemalig,WORD,ehemals,NA,exehemalig
27882,Zeitung,WORD,Zeitschrift,Blattsalat,Käsblatt
27977,Bonn,WORD,Hauptstadt,ehemalige,Nordreinwestfahlen
28015,öffentlich,WORD,NA,NA,keine antort
28380,Paris,WORD,Baguette,Liebe,EIfelturm
28496,Kooperation,WORD,Blockade,Gewinn,Zusammenarbiet
